Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y
3616.6667,17.881676,336.36868,153.90649,317.61157,144.0381,318.60507,76.711624,334.7562,65.273529
3633.3333,17.802359,336.38333,154.0798,317.62161,144.1385,318.57556,76.507027,334.75745,65.074768
3650,14.294247,335.75937,155.97833,317.6293,144.61659,317.9776,75.450424,333.67142,62.838879
3666.6667,10.786135,333.31268,159.32022,317.08096,145.37901,316.38214,73.839012,330.3923,58.615246
3683.3333,7.3303828,330.80865,162.25552,316.45309,145.94504,314.5101,72.256035,326.36545,54.387955
3700,3.9269907,328.29416,164.79718,315.94263,146.28043,313.20389,70.996155,322.91272,51.189835
3716.6667,0.41887903,326.45313,166.48045,315.58362,146.53897,312.67966,70.403084,320.62119,49.248871
3733.3333,0.28875694,325.61887,167.27815,315.48941,146.64513,312.88901,70.333496,320.70209,48.956467
3750,0.26283622,325.83844,167.39844,315.55652,146.63554,313.32895,70.361786,321.3501,48.981064
3766.6667,0.23691548,325.66962,167.52245,315.54648,146.63242,313.62195,70.367058,321.58737,48.90181
3783.3333,0.21099475,325.13699,167.91339,315.44913,146.74818,313.61423,70.293854,321.37628,48.656887
3800,0.18507402,324.76172,168.27289,315.38046,146.82961,313.39099,70.212509,320.84692,48.391178
3816.6667,0.1591533,324.9491,168.39369,315.47049,146.90454,313.26068,70.183464,320.45691,48.234879
3833.3333,0.13323256,325.17526,168.55862,315.66794,147.02649,313.41528,70.24131,320.54358,48.193821
3850,0.10731183,325.15994,168.65083,315.65497,147.03796,313.74548,70.335983,320.88559,48.264191
3866.6667,0.081391096,324.79379,168.73822,315.52924,146.98164,313.99167,70.320213,321.25107,48.262077
3883.3333,0.055470366,324.23984,168.91,315.3139,147.0024,314.09424,70.212509,321.34256,48.143219
3900,0.029549634,323.91885,169.05212,315.16986,147.01892,314.00693,70.187729,321.12875,48.02932
3916.6667,0.0036289024,323.80814,169.06857,314.97327,147.04031,313.84564,70.186195,320.94614,47.97998
3933.3333,4.2516222,323.45755,169.22398,314.80698,147.06563,313.63373,70.192871,320.80853,47.960907
3950,9.2362823,323.21115,169.33432,314.61783,147.1292,313.38208,70.160736,320.34531,47.852402
3966.6667,14.001031,323.02908,169.36299,314.53568,147.08325,313.07031,70.141701,319.8436,47.703156
3983.3333,17.599691,323.76361,168.80116,314.59732,146.9713,312.78131,70.224388,319.39294,47.78669
4000,17.625742,325.84357,167.10767,314.96414,146.52646,312.87872,71.020569,320.12442,49.067211
4016.6667,17.651791,328.99664,164.48094,315.52194,145.89746,313.68491,72.271973,323.46445,52.009892
4033.3333,17.677841,331.38916,161.8869,315.94629,145.34193,314.88568,73.535904,326.85107,55.353584
4050,17.70389,332.38055,159.87077,316.01993,144.89587,315.81168,74.620575,329.18781,58.180965
4066.6667,17.72994,333.21155,157.79327,315.79263,144.51846,316.50272,75.447655,331.0473,60.871113
4083.3333,17.755989,333.67419,156.22269,315.61777,144.20013,316.92068,76.049072,332.41971,63.243095
4100,17.78204,334.23001,155.03171,315.62918,144.09576,316.98587,76.414406,332.90552,64.609123
4116.6665,17.80809,334.77167,154.32297,315.85199,144.01285,317.04431,76.619301,333.1846,65.314552
4133.3335,17.834139,335.05579,153.86316,315.96939,143.92563,316.92792,76.641983,333.11569,65.590485
4150,17.860189,335.08899,153.60364,315.9621,143.86156,316.75339,76.533066,333.04672,65.622208
4166.6665,17.886238,334.69601,153.77412,315.75076,143.88629,316.6658,76.312737,332.82581,65.313187
4183.3335,17.2264,334.65491,154.15459,315.73749,144.02907,316.50601,75.981743,332.65189,64.825714
4200,13.823008,333.53238,156.48187,315.60535,144.62408,315.78928,74.888069,331.31137,62.298683
4216.6665,10.262536,331.11823,159.76704,315.03339,145.39647,314.07074,73.353477,328.01144,58.160042
4233.3335,6.8067842,328.86038,162.55386,314.49866,146.00615,312.36832,71.918083,324.26483,54.270794
4250,3.4557519,326.55042,165.00381,314.09195,146.33366,311.13916,70.793617,320.81082,51.109219
4266.6665,0.31155428,324.83243,166.66087,313.89871,146.56229,310.63361,70.236618,318.646,49.277336
4283.3335,0.28550461,324.27039,167.24719,313.84741,146.65863,310.84247,70.1744,318.754,49.060074
4300,0.25945491,324.36331,167.42929,313.91931,146.67102,311.36319,70.281364,319.48358,49.110077
4316.6665,0.23340523,324.02573,167.6925,313.80252,146.71445,311.74112,70.283607,319.82938,49.045006
4333.3335,0.20735553,323.3768,168.08771,313.65848,146.81496,311.75418,70.245377,319.74869,48.902328
4350,0.18130584,323.10559,168.37798,313.55844,146.86765,311.51749,70.134705,319.20795,48.60799
4366.6665,0.15525615,323.17188,168.54259,313.66837,146.9272,311.43109,70.054016,318.80179,48.367744
4383.3335,0.12920646,323.4527,168.61835,313.84799,146.97729,311.50903,70.103027,318.7674,48.301025
4400,0.10315678,323.46658,168.7543,313.92297,147.00333,311.61923,70.147278,318.92578,48.317371
4416.6665,0.077107087,323.24722,168.8132,313.8074,146.98058,311.76334,70.111328,319.01343,48.26186
4433.3335,0.051057395,322.75372,168.98485,313.60913,146.96669,311.8316,70.022644,319.0892,48.137283
4450,0.025007702,322.38574,169.1281,313.47253,146.97673,311.79785,69.917496,318.93585,47.981747
4466.6665,0.14660765,322.32202,169.14868,313.31793,146.93698,311.72382,69.873833,318.75684,47.89344
4483.3335,4.9846601,322.10223,169.24095,313.2063,146.93903,311.66025,69.849014,318.82349,47.874668
4500,9.8960171,321.65787,169.42632,312.98685,147.02686,311.535,69.843178,318.66357,47.832256
4516.6665,14.807373,321.34576,169.5873,312.87921,147.06303,311.31268,69.833076,318.18964,47.707222
4533.3335,17.604324,322.0351,169.06204,312.95096,146.94141,311.10345,70.001587,317.85416,47.885178
4550,17.630245,324.36969,167.31726,313.43552,146.50345,311.2728,70.756142,318.63055,49.069172
4566.6665,17.656166,327.79993,164.61501,314.29956,145.84436,312.20532,71.942314,322.01465,51.929932
4583.3335,17.682087,330.52005,161.85199,315.01749,145.21632,313.51508,73.220253,325.58295,55.325756
4600,17.708008,331.81384,159.77066,315.26825,144.81468,314.6647,74.328781,328.14975,58.238358
4616.6665,17.733927,332.65732,157.83691,315.18481,144.4713,315.49829,75.226624,330.15137,60.876602
