Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y
2357.4653,9.5145693,380.87329,160.58031,369.32971,139.39424,365.2998,64.841621,372.86594,44.356323
2374.1848,14.740376,380.1799,160.61391,368.87646,139.3578,364.8624,64.850853,372.84738,44.710892
2390.9045,1.5355099,379.28659,161.0441,368.57291,139.40581,364.23752,64.69873,371.35919,44.318031
2407.624,11.728986,379.97128,160.75714,368.80612,139.31827,364.34296,64.671822,371.67917,44.39352
2424.3438,6.3597636,380.6586,160.67812,369.10483,139.3177,364.54175,64.552513,372.15854,44.358871
2441.0635,10.322402,379.36136,161.69548,369.01486,139.52554,364.01553,64.135033,370.40961,43.34446
2457.783,7.6509056,378.10651,162.28835,368.57086,139.58885,363.31711,63.886124,368.50763,42.730289
2474.5027,9.7261391,378.28104,162.05064,368.43546,139.50072,363.2746,63.853001,368.91318,42.786701
2491.2222,7.053473,378.59036,161.83266,368.48776,139.45613,363.30096,63.800262,369.06824,42.802387
2507.9419,2.3500478,378.30621,162.25447,368.56186,139.51749,363.0484,63.67757,368.41501,42.502228
2524.6614,1.8439523,377.44577,163.06616,368.48813,139.69124,362.49536,63.395489,367.14386,41.855122
2541.3811,1.5145513,376.47153,163.75433,368.31345,139.91309,361.86865,63.072708,365.2438,41.158833
2558.1006,5.8670273,375.80386,164.07109,367.98477,140.02338,361.50293,62.938786,364.25519,40.846474
2574.8203,1.6411605,375.56183,164.22021,367.89163,140.08105,361.61453,63.046532,364.66681,40.860184
2591.5398,14.702166,375.89975,164.18983,367.98856,140.12061,361.86621,63.1674,365.1163,40.975185
2608.2595,13.352241,376.12466,164.13803,368.03796,140.13651,361.93076,63.295952,365.34521,41.066425
2624.979,14.558161,376.00128,163.9756,367.91403,140.11871,361.78214,63.417538,365.21707,41.25502
2641.6987,10.637513,377.11581,162.74614,367.88074,139.76607,361.84134,63.955227,365.74188,42.078842
2658.4182,10.608319,379.84622,160.84831,368.3631,139.38559,362.61371,64.670273,369.20386,43.685612
2675.1379,7.5068865,380.69992,160.3886,368.6987,139.38197,362.97629,64.847565,370.58203,44.347939
2691.8577,4.8168287,379.42841,161.20604,368.58295,139.59476,362.35971,64.701439,368.48401,43.641312
2708.5771,11.085103,379.21201,161.42683,368.53281,139.68314,362.10117,64.560661,367.59274,43.235279
2725.2969,13.697344,379.65884,161.20195,368.75891,139.59531,362.6427,64.54509,368.67175,43.35067
2742.0164,14.975224,379.61334,161.18379,368.73355,139.58813,363.091,64.511124,369.2912,43.410458
2758.7361,3.2428632,378.85083,161.3826,368.39261,139.58282,363.0925,64.463936,369.43597,43.385967
2775.4556,6.4215841,378.41156,161.4791,368.12161,139.53903,362.88889,64.372917,369.04266,43.285053
2792.1753,5.5886397,378.85223,161.45491,368.36139,139.50826,362.85162,64.218498,368.78238,43.087082
2808.8948,12.9135,378.59772,162.29224,368.6637,139.67744,362.63986,63.831024,367.95438,42.337196
2825.6145,1.0921749,376.81183,163.6012,368.49942,139.94084,362.09885,63.39407,365.66687,41.336258
2842.334,6.2766895,375.77127,164.00349,367.91257,140.0126,361.51974,63.111717,364.50345,40.90387
2859.0537,12.976463,375.27621,164.07922,367.4472,139.99524,361.35153,62.977432,364.51791,40.853146
2875.7732,13.257521,375.2211,163.83165,367.27759,139.92432,361.62506,63.132202,364.73566,41.052742
2892.4929,11.985082,376.62814,162.69147,367.49176,139.53622,362.38007,63.70742,366.87982,42.100792
2909.2124,8.7371111,379.12665,160.9696,367.89059,139.08275,363.38297,64.359207,370.38156,43.712227
2925.9321,8.8650331,379.68283,160.22157,367.86499,138.95781,363.45184,64.595055,371.33496,44.522919
2942.6516,11.289268,378.52493,160.79472,367.51529,139.09811,362.73169,64.53849,369.91022,44.239273
2959.3713,6.48809,378.38519,160.93588,367.46539,139.1899,362.66599,64.511986,369.45889,44.146595
2976.0911,13.77045,379.18445,160.5378,367.7048,139.11826,363.34384,64.629791,370.95172,44.556614
2992.8105,11.277488,378.93774,160.48941,367.57855,139.09129,363.53699,64.655388,371.30157,44.674446
3009.5303,9.9014874,378.35977,160.26218,367.11292,138.97697,363.24829,64.833344,371.09692,45.017609
3026.2498,7.0441093,379.23447,159.13414,366.94226,138.72919,363.11942,65.064812,372.03763,45.922596
3042.9695,7.2314429,379.98959,158.48103,367.14331,138.62798,363.04352,65.176163,372.26181,46.301559
3059.689,10.33454,380.05408,158.56323,367.27634,138.6694,362.82187,65.153168,371.77588,46.177521
3076.4087,7.1150298,380.0506,158.52399,367.27402,138.67853,362.53943,65.135513,371.62134,46.21064
3093.1282,12.57928,380.10178,158.58752,367.3634,138.7179,362.07962,64.932503,370.68109,45.764977
3109.8479,8.2605524,380.04623,158.74341,367.47171,138.75797,361.73172,64.85051,369.72601,45.39854
3126.5674,12.366579,380.16345,158.58922,367.39835,138.72763,361.74811,64.981491,370.18896,45.643002
3143.2871,15.061847,380.0423,158.55299,367.29865,138.79811,361.68301,65.00032,370.27164,45.788475
3160.0066,0.79704779,379.82343,158.69211,367.21475,138.85126,361.53586,65.021637,369.75272,45.566456
3176.7263,0.79913026,379.867,159.19377,367.35318,139.01016,361.44058,64.811127,369.70578,45.284382
3193.4458,4.9552073,378.45444,161.06667,367.5181,139.41992,360.99832,64.141403,367.4205,43.602806
3210.1655,12.34229,376.50497,162.73373,367.37805,139.88091,360.44656,63.618603,364.46481,42.154251
3226.8853,10.892778,375.87469,163.20615,367.04016,139.94714,360.29938,63.4114,364.42126,41.8004
3243.6047,6.970798,375.58771,163.20076,366.66107,139.92598,360.06094,63.340496,364.07733,41.609585
3260.3245,11.941914,375.03979,163.19354,366.34952,139.89114,359.90573,63.330708,363.38623,41.506756
3277.0439,10.181837,375.48486,162.76683,366.39554,139.71783,360.36008,63.548916,364.87939,41.971809
3293.7637,13.665404,377.15222,161.4705,366.62704,139.33444,361.01788,63.949821,366.61383,42.83527
3310.4832,3.8277061,378.51846,160.17308,366.84598,139.05199,361.40216,64.345978,368.36005,43.911118
3327.2029,11.439887,378.70517,159.85115,366.74417,138.97229,361.17831,64.503189,369.09027,44.623558
3343.9224,5.498055,378.25626,160.14726,366.75919,139.01517,360.6362,64.444252,367.51086,44.180882
3360.6421,10.812651,378.79831,159.93404,367.02609,138.97658,360.88794,64.433075,367.81589,44.202766
3377.3616,7.6987419,379.3042,159.67906,367.20416,138.94246,361.40964,64.44558,369.18796,44.504959
3394.0813,8.9412107,378.35278,160.32179,366.99387,139.07756,361.13919,64.220741,367.97882,43.830902
3410.8008,8.5703573,377.53699,160.76941,366.74167,139.16728,360.78809,64.089996,366.87326,43.470566
3427.5205,1.8327824,377.94354,160.68477,366.82806,139.19058,360.88983,64.071098,367.56644,43.616501
3444.24,2.1600585,377.67441,161.29567,367.03055,139.30023,360.77551,63.801502,366.68875,42.978271
3460.9597,1.4118179,376.40631,162.51218,367.03183,139.59741,360.34262,63.489841,364.70959,42.034035
3477.6792,5.0962,375.24588,163.2818,366.64227,139.78751,359.81183,63.188137,363.65393,41.509739
3494.3989,2.1609499,374.49603,163.56479,366.2179,139.8734,359.28537,63.006584,362.5347,41.25716
3511.1187,13.176965,374.09573,163.86591,366.00137,139.98384,359.1853,62.996422,362.17117,41.181358
3527.8381,13.025176,374.11914,163.97765,366.01071,139.99358,359.5007,63.135288,362.88342,41.367699
3544.5579,15.016188,374.41034,163.85132,366.06973,139.96924,359.76978,63.294312,363.49557,41.481598
3561.2773,10.780111,375.07385,163.18991,366.13556,139.80106,359.8429,63.54324,363.63208,41.922878
3577.9971,10.429709,376.60196,161.75049,366.22076,139.38184,360.23221,64.157082,365.38367,43.04707
3594.7166,8.5797262,378.61319,160.24594,366.62808,139.07863,360.86624,64.625488,368.09781,44.35841
3611.4363,4.3552389,378.48468,160.37178,366.76859,139.12471,360.81943,64.649277,368.08459,44.471497
3628.1558,10.154884,377.66742,160.80649,366.60736,139.18103,360.45856,64.501579,366.54034,43.90456
3644.8755,13.697344,377.88065,160.59036,366.62137,139.13571,360.74899,64.487961,367.45883,44.117043
3661.595,14.806855,378.21231,160.22606,366.70273,139.00848,361.23816,64.519104,368.37411,44.273918
3678.3147,5.1609902,378.17514,160.10474,366.68277,138.95058,361.4527,64.502327,368.7706,44.37756
3695.0342,5.9035344,377.94409,160.0965,366.5657,138.88371,361.37308,64.419388,368.88144,44.394005
3711.7539,4.7412548,377.96939,160.06584,366.63287,138.86865,361.18979,64.343674,368.24042,44.12862
3728.4734,15.408545,378.46213,159.83643,366.85834,138.82092,361.20563,64.31588,368.35376,44.139931
3745.1931,0.77053642,378.58334,160.22977,367.10431,138.86961,361.04846,64.030106,368.04388,43.657455
3761.9128,5.1602063,377.39554,161.17424,367.06116,139.08186,360.40781,63.680443,365.61722,42.584808
3778.6323,12.910097,377.23196,161.32162,366.92554,139.16125,360.22699,63.652321,365.24329,42.503246
3795.3521,13.257521,377.5755,161.13594,366.91354,139.14424,360.37558,63.694614,366.07312,42.713409
3812.0715,12.30964,377.34027,161.20569,366.87192,139.17023,360.3891,63.736488,365.45831,42.621925
3828.7913,9.147912,377.599,160.70235,366.76093,139.09744,360.63284,64.087868,366.50204,43.278305
3845.5107,8.6561041,378.46539,160.04955,366.82376,138.94106,360.98935,64.33773,368.15573,44.102699
3862.2305,10.913996,378.33649,160.19884,366.9151,139.034,360.95282,64.36586,367.62912,44.000099
3878.95,6.9959049,378.20935,160.40839,366.97162,139.1653,360.97995,64.465508,367.58359,44.04295
