Time (ms),Tendon Contraction (mm),M1 X (mm),M1Y,M2 X,M2 Y,M3 X,M3Y,M4X,M4Y,Markers from bottom to top
3950,0.04130380775,369.44485,153.86893,360.99075,130.80406,357.33496,49.82058,364.55865,27.638613,
3966.6667,0.03087355327,369.07254,154.03174,360.80026,130.88654,357.43509,49.847992,364.70135,27.596827,
3983.3333,0.02044329878,368.75879,154.13223,360.63052,130.93201,357.50174,49.851246,364.76111,27.57481,
4000,0.0100130443,368.59167,154.20049,360.54843,130.9639,357.4855,49.871384,364.79568,27.511606,
4016.6667,0.20943951,368.61005,154.21165,360.54199,131.00177,357.46097,49.882217,364.72342,27.485197,
4033.3333,3.874630939,368.76965,154.20627,360.69092,131.0112,357.36838,49.93988,364.52362,27.446817,
4050,7.539822369,369.61673,153.55531,360.87146,130.86964,357.28839,50.141811,364.31485,27.577257,
4066.6667,11.2050138,371.76022,152.04152,361.38098,130.3869,357.66751,50.787186,365.36694,28.614475,
4083.3333,14.87020523,374.79129,149.56374,362.21643,129.66998,358.70978,51.727997,368.43475,30.823896,
4100,18.53539666,377.44254,146.92447,363.01907,129.08195,360.11093,52.770634,371.85239,33.530247,
4116.6665,18.54582691,379.0267,144.57367,363.36267,128.58078,361.24112,53.677521,374.44821,36.028561,
4133.3335,18.55625717,379.88358,142.58432,363.3981,128.19574,362.15878,54.44577,376.66238,38.469425,
4150,18.56668742,380.55667,140.68561,363.34167,127.83772,362.99493,55.108707,378.39154,40.651409,
4166.6665,18.57711768,381.33691,138.81819,363.43051,127.49958,363.72943,55.805767,379.88239,42.909054,
4183.3335,18.58754793,382.33408,137.06178,363.82034,127.15483,364.43228,56.313957,381.06754,44.62764,
4200,18.59797819,382.75589,136.19165,364.06937,127.07518,364.7738,56.694721,381.57205,45.768909,
4216.6665,18.60840844,383.20917,135.14618,364.19876,127.04826,364.92996,57.096272,381.91757,46.815281,
4233.3335,18.61883869,383.07605,134.83841,364.09088,127.11466,364.98788,57.340374,382.10883,47.56982,
4250,18.62926895,382.70071,135.04587,363.81866,127.36362,364.92453,57.457951,382.05566,47.812523,
4266.6665,18.6396992,382.50162,135.27548,363.66623,127.59,364.87677,57.622478,382.07483,48.175625,
4283.3335,18.65012946,382.49774,135.39685,363.5838,127.80344,364.7832,57.823105,382.03964,48.381966,
4300,18.66055971,382.49088,135.51633,363.56549,128.01103,364.6207,57.982224,381.85358,48.450333,
4316.6665,18.67098997,382.41968,135.72452,363.5083,128.22777,364.47488,58.139191,381.72748,48.587254,
4333.3335,18.68142022,382.32123,135.90984,363.42899,128.37675,364.43317,58.238247,381.70297,48.713371,
4350,18.69185047,382.2536,136.02931,363.38043,128.48285,364.37897,58.316498,381.68826,48.755638,
4366.6665,18.70228073,382.25208,136.08829,363.35977,128.55702,364.33334,58.321148,381.61792,48.79723,
4383.3335,18.71271098,382.2258,136.11362,363.31964,128.55971,364.30368,58.278683,381.59494,48.766613,
